Student_ID,Gender,Institution,Level,Course,CGPA,WAEC_Grades,UTME_Score
S00133,Female,UniIbadan,200,Computer Science,3.41,5 A's,241
S00134,Female,UniIlorin,100,Law,4.93,,279
S00135,Female,Uniben,400,Accounting,3.12,9 B's,320
S00136,Other,UniJos,400,Economics,2.09,6 A's,266
S00137,Female,UniIlorin,200,Law,,9 B's,abc
S00138,Male,UniIbadan,100,Law,2.21,9 D's,316
S00139,Male,Uniben,300,Accounting,4.98,9 B's,325
S00140,Female,UniIlorin,300,Accounting,3.53,5 A's,359
S00141,Female,Unizik,200,Law,3.28,6 D's,245
S00142,Female,Unizik,200,Economics,2.72,7 B's,328
S00143,Male,Uniben,100,Economics,2.47,9 B's,237
S00144,Male,Uniport,400,Law,1.43,8 D's,221
S00145,,Unilag,100,Computer Science,1.53,9 D's,281
S00146,Male,Unilag,300,Economics,,8 B's,343
S00147,Male,Unizik,100,Medicine, ,5 B's,277
S00148,Other,UniIbadan,200,Engineering,3.22,6 A's,269
S00149,Female,Unilag,200,Accounting,3.14,5 C's,171
S00150,Male,UniIlorin,100,Engineering,3.2,5 A's,355
S00151,Female,Uniben,300,Law,1.81,8 D's,352
S00152,Male,UniJos,300,Computer Science,3.81,6 D's,195
S00153,Female,UniJos,100,Computer Science,3.26,5 B's,257
S00154,Male,Unizik,100,Accounting,3.9,5 D's,not available
S00155,Female,Unilag,100,Engineering,NaN,8 B's,214
S00156,Female,UniIbadan,400,Computer Science,2.37,8 C's,356
S00157,Male,UniIlorin,200,Accounting,not available,8 C's,376
S00158,Male,Unizik,200,Law,1.97,5 B's,169
S00159,Female,Uniport,300,Law, ,9 C's,238
S00160,Male,UniJos,100,Medicine,1.46,7 C's,262
S00161,,UniJos,300,Engineering,1.27,5 A's,231
S00162,Male,UniIlorin,100,Engineering,2.64,9 A's,357
S00163,Female,UniJos,200,Law,1.28,6 C's,362
S00164,Female,UniIlorin,300,Medicine,3.17,6 C's,243
S00165,Male,UniJos,100,Economics,1.77,6 B's,312
S00166,Female,UniJos,300,Law,3.53,8 B's,176
S00167,Male,Unilag,400,Law, ,,245
S00168,Male,Uniport,100,Medicine,1.75,8 B's,340
S00169,Female,Uniport,400,Economics,4.08,5 B's,237
S00170,Male,Uniben,400,Computer Science,4.05,9 A's,322
S00171,Male,Uniben,400,Engineering,1.37,8 A's,261
S00172,Male,Unilag,300,Accounting,4.66,8 C's,abc
S00173,Other,UniIbadan,100,Engineering,,6 C's,325
S00174,Male,Uniport,300,Computer Science,3.88,7 C's,166
S00175,Female,Uniben,300,Engineering,1.16,8 D's,240
S00176,Female,Unilag,100,Engineering,2.28,6 C's,362
S00177,Male,UniJos,100,Engineering,2.06,7 B's,254
S00178,Male,UniJos,400,Economics,3.62,5 C's,400
S00179,Female,Uniben,100,Computer Science,1.19,6 D's,239
S00180,Female,Unilag,100,Economics,2.27,9 A's,153
S00181,Male,Unizik,200,Law,2.96,5 D's,267
S00182,Male,UniJos,200,Economics,3.96,,254
S00183,Female,UniJos,300,Economics,1.84,8 C's,270
S00184,Male,Unizik,300,Law,2.15,7 C's,277
S00185,Female,Unilag,100,Economics,3.61,6 D's, 
S00186,Male,Uniport,300,Computer Science,4.86,8 A's,312
S00187,Male,UniIbadan,400,Law, ,5 B's,308
S00188,Male,Uniben,200,Accounting,3.99,5 D's,312
S00189,Male,UniIlorin,100,Economics,1.15,5 B's,not available
S00190,Male,UniJos,100,Law,4.86,9 B's,329
S00191,Female,Unilag,400,Computer Science,1.41,6 C's,182
S00192,Male,UniIbadan,300,Accounting,3.39,5 A's,364
S00193,,UniIbadan,400,Law,2.72,5 B's,353
S00194,Male,Unilag,300,Economics,1.38,7 B's,249
S00195,Male,UniJos,200,Computer Science,4.17,7 C's,314
S00196,Female,Unizik,400,Medicine,2.15,8 B's,395
S00197,Female,Unizik,100,Economics,4.26,6 B's,376
S00198,Female,UniIbadan,100,Medicine,1.79,5 C's,194
S00199,Male,Unizik,300,Economics,3.34,7 B's,338
S00200,Male,Uniben,200,Economics,3.84,6 A's,201
S00201,Male,Uniport,400,Law,2.13,5 D's,199
S00202,Male,Unilag,300,Engineering,4.82,9 D's,218
S00203,,Unizik,200,Medicine,4.54,5 A's,293
S00204,Female,Uniben,400,Medicine,3.57,7 B's,303
S00205,Other,UniIbadan,300,Computer Science,3.45,9 A's,abc
S00206,Female,UniJos,200,Medicine, ,8 C's,157
S00207,Female,Uniben,100,Medicine,4.9,,not available
S00208,Male,UniIbadan,200,Computer Science,2,9 A's,384
S00209,Male,Unizik,300,Medicine,3.71,9 D's,169
S00210,Male,UniIlorin,200,Law,2.65,6 D's,183
S00211,Female,UniIlorin,200,Medicine,,8 C's,301
S00212,Male,Uniport,200,Engineering,1.25,7 B's,271
S00213,Other,UniJos,300,Economics,4.42,5 C's,368
S00214,Male,UniJos,200,Accounting,1.31,9 D's,371
S00215,Female,UniIlorin,400,Computer Science,3.21,7 B's,271
S00216,Male,Uniben,400,Engineering,1.51,8 B's,248
S00217,Male,UniIlorin,200,Accounting,,8 C's,286
S00218,Other,Uniport,100,Engineering,4.19,8 D's,164
S00219,Male,Unizik,300,Computer Science, ,7 C's,NaN
S00220,Male,Uniport,200,Accounting,4.02,6 A's,
S00221,Female,UniJos,100,Computer Science,2.83,9 D's,227
S00222,Female,Uniport,300,Economics,2.68,9 C's,234
S00223,Male,Unilag,100,Medicine,4.99,5 C's, 
S00224,Male,UniJos,100,Law,abc,9 B's,338
S00225,Female,UniIbadan,400,Accounting,3.29,6 B's,abc
S00226,Other,UniIbadan,200,Engineering,3.16,9 B's,262
S00227,Male,Unilag,200,Accounting,3.39,9 C's,210
S00228,Male,Uniport,400,Medicine,2.01,9 B's,292
S00229,Male,UniIlorin,200,Law,1.92,8 A's,256
S00230,Female,Uniport,100,Engineering,4.6,9 C's,305
S00231,Female,UniIlorin,100,Computer Science,3.23,9 A's,248
S00232,Female,Unilag,200,Medicine,3.41,5 C's,257
S00233,Male,UniIlorin,200,Engineering,3.49,6 A's,327
S00234,Male,Unizik,400,Computer Science,4.82,5 D's,229
S00235,Male,UniIbadan,200,Medicine,3.38,5 D's,325
S00236,Male,UniIlorin,400,Medicine, ,5 B's,350
S00237,Male,UniIbadan,300,Economics,4.92,9 A's,193
S00238,Female,Uniben,100,Law,3.39,8 C's,199
S00239,Female,Unilag,200,Medicine,2.2,8 B's,227
S00240,Male,Uniben,200,Medicine,3.65,7 B's,394
S00241,Female,Unizik,100,Accounting,2.43,5 C's,227
S00242,Male,Unilag,300,Economics,4.86,,389
S00243,Male,UniIbadan,100,Computer Science,1.54,6 B's,189
S00244,Male,Unizik,100,Economics,1.67,9 D's,337
S00245,Male,UniIbadan,300,Medicine,4.84,9 A's,abc
S00246,Male,UniIlorin,200,Computer Science,2.25,9 B's,269
S00247,Female,Uniben,300,Engineering,4.66,6 C's,154
S00248,Female,Unizik,200,Computer Science,1.72,9 D's,314
S00249,Female,UniJos,300,Medicine,1.27,9 A's,228
S00250,Female,Uniport,200,Economics,NaN,8 A's,400
S00251,Male,Uniben,300,Economics,2.08,5 C's,343
S00252,Female,UniJos,300,Economics,3.82,8 C's,261
S00253,Male,Unilag,100,Engineering,1.11,7 B's,295
S00254,Female,Unizik,200,Accounting,4.12,7 C's,324
S00255,Female,Uniport,200,Engineering,3.51,5 C's,abc
S00256,Male,Uniport,200,Computer Science,2.98,6 C's,192
S00257,Male,Unilag,300,Computer Science,,9 B's,344
S00258,Female,Unilag,100,Computer Science,4.04,7 C's,294
S00259,Male,Unizik,400,Economics, ,7 C's,192
S00260,Female,Uniben,200,Computer Science,4.7,7 B's,197
S00261,,UniIbadan,300,Economics,1.29,9 D's,349
S00262,Male,UniJos,400,Accounting,4.72,9 D's,377
S00263,Female,Unizik,200,Economics,3.64,5 B's,348
S00264,Male,UniJos,300,Law,,6 B's,202
S00265,Female,Uniport,300,Law,2.11,8 A's,258
S00266,Male,UniIbadan,200,Computer Science,4.51,9 A's, 
S00267,Male,Unizik,400,Medicine,4.34,6 B's,243
S00268,Male,Unilag,400,Medicine,3.19,9 A's,274
S00269,Male,Unilag,100,Computer Science,3.31,5 A's,168
S00270,Male,Unizik,400,Computer Science,1.04,8 B's,310
S00271,Male,UniJos,400,Law,3.27,6 A's,231
S00272,Male,Uniben,300,Accounting,1.96,,393
S00273,Male,Unilag,400,Law,1.56,6 A's,381
S00274,Male,Uniport,200,Medicine,3.35,9 D's,391
S00275,Female,UniJos,200,Law,2.6,6 D's,360
S00276,Male,UniIbadan,100,Economics,1.05,,320
S00277,Female,Unilag,200,Law,4.74,5 A's,156
S00278,Male,Unizik,200,Computer Science,,8 B's,295
S00279,Male,UniJos,400,Economics,3.26,5 C's,not available
S00280,Female,Uniport,400,Computer Science,3.13,6 C's,389
S00281,Female,UniIlorin,300,Economics,1.24,8 B's,400
S00282,Female,UniJos,200,Computer Science,4.02,6 C's,329
S00283,Female,Unizik,300,Economics,3.78,6 D's,163
S00284,Other,Uniben,200,Economics,3.16,6 B's,330
S00285,Female,UniJos,400,Economics,2.51,6 D's,242
S00286,Female,Uniport,200,Economics,1.66,8 C's,343
S00287,Female,Unizik,200,Economics,3.04,9 C's,217
S00288,Male,Uniben,200,Economics,3.46,9 C's,315
S00289,Female,UniIbadan,100,Computer Science,2.45,7 B's,170
S00290,Female,Uniben,200,Economics,2.71,6 C's,300
S00291,Female,Unilag,200,Medicine,1.85,7 B's,174
S00292,Male,UniJos,400,Medicine,3.41,,254
S00293,Male,Unizik,200,Economics,4.75,9 D's,385
S00294,Female,Uniport,200,Medicine,,8 D's,330
S00295,Female,Uniport,100,Engineering,3.78,5 A's,366
S00296,Female,Unilag,400,Medicine,1.31,9 B's,183
S00297,Female,UniIbadan,200,Computer Science,4.03,7 B's,224
S00298,Male,Unilag,300,Economics,3.19,9 A's,382
S00299,Male,Unizik,400,Accounting,1.41,8 C's,176
S00300,Female,Uniport,400,Law,3.74,5 A's,315
S00301,Female,Unilag,300,Economics,4.76,8 A's,237
S00302,Female,Unizik,400,Economics,3.46,5 A's,160
S00303,Female,Unizik,400,Medicine,2.82,5 B's,abc
S00304,Other,Uniben,200,Engineering,NaN,5 C's,243
S00305,Male,Unilag,400,Law,3.29,8 C's,350
S00306,Female,Unizik,400,Law,2.45,6 B's,352
S00307,,Uniben,300,Accounting,4.84,,NaN
S00308,Male,Unilag,400,Engineering,4.98,9 D's,174
S00309,Female,UniIbadan,300,Medicine,2.61,5 D's,NaN
S00310,Female,Uniben,100,Engineering, ,6 C's,276
S00311,Male,UniIlorin,200,Medicine,3.06,8 A's,399
S00312,Female,Unizik,100,Law,1.26,9 A's,194
S00313,Female,Unizik,300,Law,2.6,8 C's,352
S00314,Female,UniIbadan,300,Economics,2.24,6 B's,379
S00315,Female,UniIbadan,400,Computer Science,3.46,9 D's,177
S00316,Male,UniJos,300,Economics,3.97,8 D's,315
S00317,Female,Unilag,300,Economics,NaN,7 B's,395
S00318,Male,UniIbadan,300,Computer Science,1.43,,213
S00319,Female,UniJos,300,Engineering,4.08,8 B's,326
S00320,Female,Unizik,100,Accounting,4.71,6 D's,185
S00321,Female,Unilag,200,Computer Science,2.67,8 A's,258
S00322,Female,UniIlorin,300,Economics,3.37,,304
S00323,Male,Unizik,200,Accounting,4.89,5 A's,165
S00324,Female,UniIbadan,200,Economics,4.11,9 B's,365
S00325,Female,Uniben,400,Economics,3.57,8 A's,not available
S00326,Female,UniIlorin,200,Engineering, ,5 D's,344
S00327,Female,Uniport,100,Law,1.76,6 D's,173
S00328,Male,UniIlorin,100,Engineering,1.16,8 C's,343
S00329,Female,UniIlorin,300,Medicine,1.33,9 D's,151
S00330,Male,Unilag,400,Medicine,1.92,5 D's,165
S00331,Female,Unilag,200,Law,4.43,9 C's,204
S00332,Male,Uniport,400,Medicine,3.22,5 A's,361
S00333,Female,UniIbadan,400,Medicine, ,6 D's, 
S00334,Female,Uniben,300,Accounting,3.64,6 D's,285
S00335,Female,UniIlorin,400,Law,4.53,9 D's,379
S00336,Female,Uniben,200,Engineering,3.93,6 C's,391
S00337,Male,Uniport,400,Medicine,abc,9 C's,255
S00338,Male,UniIbadan,100,Medicine,3.65,9 A's,290
S00339,Male,Unilag,200,Accounting,NaN,6 D's,261
S00340,Male,Uniport,400,Engineering,2,8 A's,285
S00341,Female,Uniport,100,Medicine,2.44,6 A's,260
S00342,Male,Uniben,300,Medicine,3.44,,271
S00343,Male,UniIlorin,100,Law,2.9,7 B's,169
S00344,Male,UniIlorin,100,Law,2.99,6 A's,383
S00345,Male,UniIlorin,200,Law,2.74,9 A's,167
S00346,Female,Uniben,200,Engineering,1.72,5 D's,183
S00347,Male,Uniben,300,Computer Science,NaN,6 A's,220
S00348,Male,UniJos,200,Engineering,3.11,8 B's, 
S00349,Female,UniIlorin,300,Computer Science,,8 B's,215
S00350,Female,UniIlorin,200,Engineering,3.25,5 C's,207
S00351,Female,UniIbadan,300,Medicine,2.92,8 A's,abc
S00352,Male,Unilag,100,Medicine, ,5 D's,196
S00353,Female,Uniben,400,Engineering,1.35,8 C's, 
S00354,Other,Uniport,300,Law,1.24,9 B's,245
S00355,Male,Uniport,300,Law,4.52,7 C's,398
S00356,Female,Unilag,200,Law,3.2,7 C's,219
S00357,Male,Unizik,100,Accounting,4.33,6 A's,231
S00358,Female,UniJos,200,Computer Science,3.87,7 B's,348
S00359,Other,Unizik,400,Economics,2.36,8 A's,331
S00360,Female,UniJos,100,Law,3.29,9 A's,218
S00361,Female,UniIlorin,200,Economics,3.24,9 A's,abc
S00362,Female,Unizik,200,Computer Science,4.48,9 D's,247
S00363,Female,Uniport,200,Accounting,1.15,5 D's,355
S00364,Female,Unilag,200,Accounting,2.16,9 D's,323
S00365,Male,Uniben,200,Computer Science,not available,9 D's, 
S00366,Female,UniIbadan,400,Law,3.98,5 B's,352
S00367,Female,Uniport,400,Accounting,1.09,9 A's,239
S00368,Female,Uniport,200,Engineering,3.08,6 A's,274
S00369,Male,UniIlorin,100,Economics,1.76,7 C's,157
S00370,Female,UniIlorin,400,Accounting,2.88,8 A's, 
S00371,Male,UniIbadan,400,Computer Science,2.2,7 B's,167
S00372,Female,UniJos,100,Computer Science,1.1,8 A's,258
S00373,Female,Unilag,400,Engineering,4.5,9 A's,208
S00374,Female,Unilag,200,Law,3.46,6 A's,201
S00375,Female,UniJos,400,Accounting,4.33,8 B's,160
S00376,Male,Uniben,100,Economics,4.92,8 C's,209
S00377,Male,UniJos,200,Law,4.63,6 C's,162
S00378,Female,Uniport,200,Engineering,1.91,,318
S00379,Male,Unilag,400,Engineering,1.56,6 C's,193
S00380,Male,Unilag,400,Engineering,1.08,6 C's,173
S00381,Male,UniJos,200,Medicine,NaN,9 A's,224
S00382,,Uniben,100,Law,not available,8 A's,399
S00383,Female,Uniport,100,Accounting,3.36,7 B's,170
S00384,Female,UniJos,300,Computer Science,3.64,5 D's,355
S00385,Female,Unilag,400,Engineering,1.87,9 A's,abc
S00386,Male,Unilag,200,Medicine,2.12,6 D's,220
S00387,Male,Uniben,100,Engineering,1.81,6 A's,335
S00388,,UniIbadan,300,Engineering,3.63,5 C's,191
S00389,Male,UniJos,400,Engineering,2.86,6 A's,297
S00390,Female,UniIlorin,400,Medicine,2.54,6 B's,368
S00391,Male,UniIlorin,200,Law,1.92,8 A's,362
S00392,Female,Uniben,100,Medicine, ,6 B's,151
S00393,Other,Unizik,100,Computer Science,4.36,6 B's,252
S00394,Female,UniIbadan,300,Computer Science,3.35,6 C's,NaN
S00395,Male,UniIlorin,200,Economics,3.79,6 C's,362
S00396,Female,UniIlorin,200,Accounting,1.11,8 A's,194
S00397,Male,Unizik,100,Computer Science,NaN,8 D's,317
S00398,Male,Uniport,300,Law,1.97,7 C's,247
S00399,Other,Uniport,400,Computer Science,2.9,,233
S00400,Female,Uniport,300,Law,3.64,5 A's,386
S00401,Male,Unilag,200,Engineering,1.8,9 C's,183
S00402,Male,UniIbadan,400,Engineering,2.97,5 A's,277
S00403,Male,UniJos,200,Medicine,3.61,8 A's,260
S00404,Female,Unilag,300,Economics,not available,5 A's,192
S00405,Female,UniIbadan,400,Law,3.29,9 C's,295
S00406,Other,UniIlorin,100,Law,2.55,5 D's,397
S00407,Female,Uniben,300,Economics,3.01,5 B's,332
S00408,Male,UniIbadan,400,Engineering,4.26,6 D's,245
S00409,Female,Uniport,200,Medicine,1.54,6 C's,313
S00410,Male,Uniport,400,Engineering,2.43,5 D's,373
S00411,Male,Unilag,400,Law,3.17,5 B's,not available
S00412,Male,Unilag,100,Accounting,1.1,9 D's,299
S00413,Male,Unilag,400,Accounting,1.44,7 B's,abc
S00414,Female,Unizik,200,Law,2.84,6 B's,256
S00415,Male,UniIbadan,300,Computer Science,3.94,8 C's,205
S00416,Female,Unizik,100,Medicine,4.14,7 B's,269
S00417,Female,Uniport,100,Engineering,3.36,9 D's,181
S00418,Male,UniIbadan,100,Accounting,1.2,,abc
S00419,Female,UniIbadan,400,Engineering,4,8 A's,173
S00420,Female,UniIlorin,400,Accounting,1.89,9 B's,335
S00421,Female,UniIbadan,100,Law,2.25,9 A's,279
S00422,Female,UniIbadan,200,Accounting,1.46,5 D's,209
S00423,Female,Unizik,400,Accounting,4.19,5 B's,222
S00424,Male,Uniben,400,Computer Science,4.56,5 B's,224
S00425,Male,Unilag,100,Accounting,3.44,5 B's,358
S00426,Female,UniIlorin,100,Medicine,3.32,6 D's,348
S00427,Male,Uniben,300,Law,4.23,5 A's,289
S00428,Female,UniJos,200,Economics,abc,6 B's,229
S00429,Female,UniIlorin,200,Accounting,4.07,9 A's,351
S00430,Female,Uniben,400,Computer Science,4.06,8 D's,165
S00431,Female,UniIbadan,200,Law,1.48,7 C's,200
S00432,Female,UniIbadan,300,Computer Science,2.05,5 A's,392
S00433,Female,Uniben,200,Law,4.47,6 D's,282
S00434,Male,UniJos,300,Computer Science,2.49,8 B's,366
S00435,Female,Unizik,400,Engineering,4.32,,157
S00436,Male,Unilag,200,Accounting,4.79,5 C's,355
S00437,Female,Uniben,300,Accounting,4.22,9 C's,174
S00438,Male,Unizik,400,Computer Science,1.87,5 C's,363
S00439,Female,Uniben,300,Economics,3.13,,250
S00440,Female,Unizik,200,Law,3.48,6 B's,248
S00441,Male,Unilag,400,Economics,3.64,6 D's,278
S00442,Male,Uniben,400,Accounting,4.42,7 C's,360
S00443,Male,Unizik,400,Accounting,2.77,8 C's,275
S00444,Male,Uniport,300,Economics,NaN,6 B's,368
S00445,Female,Unilag,300,Computer Science,3.6,8 D's,280
S00446,Female,Unizik,200,Accounting,4.28,7 B's,245
S00447,Male,UniIlorin,100,Medicine,1.34,7 B's,398
S00448,Female,UniIbadan,200,Law,2.32,9 B's,231
S00449,Female,Uniport,100,Computer Science,1.22,6 C's,199
S00450,Female,UniJos,100,Engineering,3.73,9 D's,262
S00451,,Uniben,300,Engineering,2.93,7 B's,
S00452,,UniIlorin,100,Computer Science,1.68,6 C's,NaN
S00453,Female,Uniben,200,Medicine,1.59,8 B's,203
S00454,Female,Uniben,300,Medicine,1.63,7 B's,378
S00455,Male,UniIbadan,300,Computer Science,1.87,8 D's,303
S00456,Female,Unilag,100,Law,3.35,,not available
S00457,Female,UniIbadan,100,Accounting,3.29,9 B's,191
S00458,Female,UniIlorin,400,Law,1.04,5 B's,370
S00459,Female,Uniben,200,Accounting,3.99,7 C's,315
S00460,Female,Uniport,300,Computer Science,1.74,9 A's,351
S00461,Female,Uniport,300,Engineering,not available,9 C's, 
S00462,Female,Unilag,300,Economics,4.22,6 A's,325
S00463,Female,UniJos,200,Accounting,1.73,6 D's,272
S00464,Male,UniJos,200,Medicine,3.34,5 C's,237
S00465,Female,Unizik,300,Computer Science,not available,9 C's,not available
S00466,Male,UniJos,400,Law,2.39,8 A's,293
